Work Item Type,Title,Description,Acceptance Criteria,Tags,Priority,Story Points,Parent
User Story,Retire the mission-control Next app,"Remove the mission-control/ Next app from the fork AFTER the hub has the operator login + operator API (do those first). Update CI (.github/workflows/ci.yml: drop the mission-control build job), root package.json (remove dev:control; make dev run hub:3000 + yard:3001 + rover), and README. Do NOT port rover-config, simulator, or dispatch routes.","mission-control/ directory deleted | CI has no mission-control job and stays green | npm run dev starts only hub + yard | README updated | no remaining imports reference mission-control",architecture,1,5,239
User Story,Point David's yard satellite at port 3001,"Configure the yard satellite web server (yard/satellite/web_server.py, currently 5050) to serve on 3001, and update scripts/dev-yard.js (or add a dev script) so npm run dev brings the satellite UI up on 3001. Rover backend stays on 8523.","yard satellite UI reachable at localhost:3001 | rover backend still on 8523 | npm run dev launches hub:3000 + yard:3001 | ports documented in README",architecture; yard,1,2,239
User Story,Operator login and admin access on the hub,"Add operator login to the hub. Port from mission-control: infrastructure/auth/operator-claims.ts, operator-role-check.ts, proxy.ts (middleware guarding /operator and /api/operator), /api/auth/session (sets the session cookie), set-custom-claims (locked behind ADMIN_API_SECRET, fails closed), and a /login page with the OperatorLogin form. Reuse the hub's existing AuthContext + lib/firebase.ts; add getFirebaseAdminAuth to infrastructure/persistence/firebase-admin.ts; wrap layout in AuthProvider. Operator role comes from the verified JWT custom claim.","/login signs in an operator and sets the session cookie | proxy redirects non-operators from /operator and 401s /api/operator | set-custom-claims requires the admin secret | AuthProvider mounted in layout | next build + typecheck green",auth,1,8,239
User Story,Minimal operator API in the hub,"Port the operator mission APIs into the hub. GET /api/operator/missions (list all). PATCH /api/operator/missions/[id] with admin-only actions: add-youtube-url, mark-complete, cancel, mark-failed. Use verifyOperatorAuth and the hub's FirestoreMissionRepository. Drop the execute/dispatch action and its rover-config / GroundStationDispatch dependencies.","GET returns missions for an authed operator and 401s otherwise | add-youtube-url validates the URL and applies only to completed missions | mark-complete sets status=completed + completedAt | unauthenticated requests get 401 | build green",auth; api,1,5,239
User Story,Operator page lists not-run missions with code,"Build an admin-gated page in the hub (route /operator) that lists missions with status queued (not yet run) and shows each mission's stored Python code with a Copy Python button. Reuse the copy-to-clipboard pattern at mission-authoring/src/app/missions/[missionId]/MissionVideoClient.tsx:156. Gate with useAuth().isOperator client-side; the proxy guards it server-side.","page lists queued missions with their code | Copy Python copies code to the clipboard | non-operators cannot view the page | data comes from GET /api/operator/missions",close-the-loop,1,5,240
User Story,Attach a YouTube video to a mission,"In the operator page, let the operator mark a mission complete and paste a YouTube URL via PATCH /api/operator/missions/[id] (mark-complete then add-youtube-url). The learner's mission and history views then show the video.","operator can attach a valid YouTube URL | invalid URLs are rejected with a message | the video appears against the mission in learner views | action requires operator auth",close-the-loop,1,3,240
User Story,Align hub Blockly with the yard's,"The hub's BlocklyEditor (mission-authoring/src/components/mission/BlocklyEditor.tsx) uses the old Blockly.Xml API and a movement-only block subset; the yard (yard/satellite/templates/code.html) uses the new Blockly.serialization JSON API with a richer set (rover_on_receive, mast, LEDs, photo, wait). Switch the hub to Blockly.serialization.workspaces.save/load and adopt the yard's block definitions, ideally extracting them into one shared defs file both editors load. Block type names and fields MUST match for a workspace to load across editors.","hub and yard share the same block definitions/types | a workspace saved in the hub loads in the yard with no unknown-block errors | hub still generates correct Python | existing saved missions are unaffected",blockly,2,13,241
User Story,Persist Blockly state on submission,"Add optional blocklyState (serialized JSON) to the Mission entity (Mission.ts) and createMissionSchema (validation/schemas.ts); pass it through MissionService.submitMission (FirestoreMissionRepository.toFirestoreDoc already strips undefined). Save the serialized workspace from MissionWorkspace on submit when in Blockly mode.","a block-built mission stores blocklyState in Firestore | Python-only missions write no blocklyState (no undefined) | the schema validates the field | build green",blockly,2,3,241
User Story,Copy blocks in the operator page,"In the operator page, add a Copy blocks button beside Copy Python, shown only when the mission has blocklyState; it copies the JSON to the clipboard for pasting into the yard.","Copy blocks shows only when blocklyState exists | it copies valid JSON | it is hidden for Python-only missions",blockly,2,2,241
User Story,Yard: import blocks paste box,"Add an Import blocks affordance to the yard editor (yard/satellite/templates/code.html): a paste box/button that runs Blockly.serialization.workspaces.load(JSON.parse(pasted), workspace). Keep it small and upstream-friendly.","pasting valid Blockly JSON loads the blocks into the yard workspace | invalid input shows an error and does not crash | the existing run flow is unaffected",blockly; yard,2,3,241
